day,daily_total_gdp,dam_storage,downstream_storage,upstream_storage,river_discharge_downstream,houses_damaged_by_inundation,financial_damage_by_innundation,financial_damage_by_flood
221,2595378937.448194,42153015.74511901,59739665.0,53911921.526257835,62917119.25382196,3392.8600428077634,92955069.66596612,0.0
222,2614742529.923158,42961694.56801288,42379211.11855075,52155451.687188625,55718734.32163793,0.0,0.0,0.0
223,2680403382.368436,43744026.343320705,8334863.160162412,26013247.068588566,22846387.92842456,0.0,0.0,0.0
224,2711185496.591608,44134225.04934953,9.313225746154785e-10,12969110.333102303,8942264.283594228,0.0,0.0,0.0
225,2751294896.5067863,44328761.70434607,0.0,6422510.41932565,3910591.2849848233,0.0,0.0,0.0
226,2865289847.2741346,44425099.36063595,0.0,3147189.4367392533,1765088.996302103,0.0,0.0,0.0
227,2875911857.630824,44472307.20218704,0.0,1569425.3862019689,832781.9481530243,0.0,0.0,0.0
228,2968645061.682969,44495848.58298007,0.0,769018.4392389647,394457.1337844187,0.0,0.0,0.0
229,3002308666.6970654,44507383.85956865,25911180.0,23069059.035227094,26987058.589311197,0.0,0.0,0.0
230,2980858101.6309857,44853419.745097056,4169962.1025095955,12161424.568700198,15140457.928751916,0.0,0.0,0.0
231,2993230392.4921184,40550499.13911785,0.0,6020285.446342821,4114750.0978775728,0.0,0.0,0.0
232,3088095302.4009438,40640803.420812994,0.0,2970710.8308406924,1799268.2498781271,0.0,0.0,0.0
233,3119841343.67997,40685364.0832756,1439510.0,2716328.3071119394,2302301.2780254083,0.0,0.0,0.0
234,3222096588.216198,40726109.00788228,0.0,1331000.8704848504,821749.0369079877,0.0,0.0,0.0
235,3265301607.798106,40746074.02093955,0.0,662264.9145565042,374062.5679767551,0.0,0.0,0.0
236,3391308288.148348,40756007.9946579,0.0,324509.80813268706,173246.48226940839,0.0,0.0,0.0
237,3425860687.569305,40760875.641779885,0.0,159009.80598501666,81877.52350024962,0.0,0.0,0.0
238,3502764326.7219644,40763260.78886966,0.0,77914.80493265817,39216.01067159417,0.0,0.0,0.0
239,3516598987.883919,40764429.510943644,10796325.0,9493278.254417002,11184718.152476022,0.0,0.0,0.0
240,3568806538.354554,40906828.6847599,0.0,4687299.40163914,3353101.1695201155,0.0,0.0,0.0
241,3691917049.1344676,40977138.17578448,0.0,2296776.706803179,1437864.9907170814,0.0,0.0,0.0
242,3800748411.452791,41011589.82638653,2879020.0,3646780.586333558,3620547.0707470374,0.0,0.0,0.0
243,3984648476.4951987,41066291.53518154,0.0,1815299.532904346,1197475.8193711864,0.0,0.0,0.0
244,3975658476.358067,41093521.0281751,9356815.0,9102069.766452173,10212330.500503076,0.0,0.0,0.0
245,3968676677.487802,41230052.07467189,0.0,4549808.410165053,3170873.5780621828,0.0,0.0,0.0
246,4053098783.542555,41298299.200824365,0.0,2229406.120980876,1370526.9184153643,0.0,0.0,0.0
247,4233047769.7260933,41331740.29263908,0.0,1092408.9992806292,616597.849572997,0.0,0.0,0.0
248,4317629912.778787,41348126.427628286,12955590.0,11881400.40964751,13684573.044155609,0.0,0.0,0.0
249,4375917527.855253,41526347.433772996,719755.0,6555807.368903384,4921605.727561111,0.0,0.0,0.0
250,4485135588.90339,41624684.54430655,0.0,3216648.8481962318,2023060.9374680636,0.0,0.0,0.0
251,4572174971.842861,41672934.27702949,0.0,1576157.9356161535,903332.4726017017,0.0,0.0,0.0
252,4710206770.157576,41696576.64606374,0.0,772317.3884519152,416242.6955475391,0.0,0.0,0.0
253,4801724274.147175,41708161.40689052,7197550.0,6681835.520341438,7639890.856010106,0.0,0.0,0.0
254,4838614587.241721,41808388.93969564,0.0,3298726.788866902,2323387.6811937997,0.0,0.0,0.0
255,4942828934.133169,41857869.84152865,0.0,1616376.126544782,1000993.9779522249,0.0,0.0,0.0
256,5110333235.774629,41882115.48342682,719755.0,1426552.7410901398,1195663.5464021196,0.0,0.0,0.0
257,5090050401.2720995,41903513.774543166,25191425.0,22775176.37054507,26490920.679806378,0.0,0.0,0.0
258,5053493947.54328,42245141.420101345,4653465.123146843,12622572.674255561,11152860.850614974,0.0,0.0,0.0
259,5199860687.002645,42434480.01021518,0.0,6266192.989839152,4268428.7749949545,0.0,0.0,0.0
260,5155168912.4162035,42528472.905062765,10076570.0,11957856.494919576,12309737.952512885,0.0,0.0,0.0
261,5098276565.94249,42707840.75248656,2159265.0,7859798.819548063,6246308.693223877,0.0,0.0,0.0
