day,daily_total_gdp,dam_storage,downstream_storage,upstream_storage,river_discharge_downstream,houses_damaged_by_inundation,financial_damage_by_innundation,financial_damage_by_flood
130,4957177913.986204,41132484.04685406,0.0,637225.1738431624,342091.79246037174,0.0,0.0,0.0
131,4958183453.832365,41142042.42446171,29509955.0,26162552.586921584,30684219.279600903,0.0,0.0,0.0
132,4959195050.687784,41534480.71326553,11718686.888896603,19371704.37269797,18996513.94769,0.0,0.0,0.0
133,4960218249.5396805,41825056.278856,1.862645149230957e-09,9680704.353699312,6753200.965178781,0.0,0.0,0.0
134,4961258313.497574,41970266.84416149,9356815.000000002,13002693.5946362,12626434.199488942,0.0,0.0,0.0
135,4962320256.01358,42165307.24808103,30229710.0,32950442.720393635,35526011.56121803,0.0,0.0,0.0
136,4963408869.6691065,42659563.888886936,4690751.863216862,16411551.620216055,13664221.519961352,0.0,0.0,0.0
137,4964528751.872516,42905737.16319018,0.0,8148248.486999835,5428748.618281046,0.0,0.0,0.0
138,4965684327.777701,43027960.89049517,0.0,4018187.033407221,2391875.14182834,0.0,0.0,0.0
139,4966879870.7024145,43088233.695996284,0.0,1972798.3940690013,1089723.5503112169,0.0,0.0,0.0
140,4968119520.297179,43117825.67190732,24471670.0,22417959.1970345,25827365.109318055,0.0,0.0,0.0
141,4969407298.690416,43454095.05986284,44745353.049882606,47744683.844064355,52557942.658939414,0.0,0.0,0.0
142,4970747124.812723,44170265.3175238,9039636.282051876,23802313.547081117,21276214.35723661,0.0,0.0,0.0
143,4972142827.082842,44527300.02073002,0.0,11873499.30252259,12679023.035764545,0.0,0.0,0.0
144,4973598154.619461,40252672.50819486,0.0,5882711.465130508,3593408.8221787224,0.0,0.0,0.0
145,4975116787.126504,40340913.18017182,33828485.0,32566596.32953184,36634377.34830007,0.0,0.0,0.0
146,4976702343.58462,40829412.1251148,41080012.12536051,47151864.34174584,50718967.706970125,0.0,0.0,0.0
147,4978358389.868275,41536690.090240985,7945764.566530775,23512177.11522392,20519131.878247984,0.0,0.0,0.0
148,4980088445.395719,41889372.74696934,0.0,11685963.85747469,8005122.035758001,0.0,0.0,0.0
149,4981895988.908349,42064662.204831466,4318530.0,9607762.71785906,7993013.787626477,0.0,0.0,0.0
150,4595884280.663179,42208778.64559935,71975500.0,67834919.44685239,77409157.59256285,14158.356672308228,387900182.80296516,0.0
151,4859223493.51602,43226302.437302135,17270785.205551833,33915418.309103854,32474586.98094312,0.0,0.0,0.0
152,4862300431.196789,43735033.711938694,10218050.56166555,25152129.154551927,22276253.890821192,0.0,0.0,0.0
153,4865366813.362675,44112315.649256974,0.0,12530408.642659603,8282296.288865683,0.0,0.0,0.0
154,4868436141.540094,44300271.77889687,8637060.0,13829284.321329802,12632757.324997688,0.0,0.0,0.0
155,4871520938.95752,44507711.04371682,36707505.0,39055721.75668303,42376355.38073709,0.0,0.0,0.0
156,4874632852.437658,45093546.87006707,6691659.079433244,19527212.347973455,21315280.814114198,0.0,0.0,0.0
157,4877782743.769199,40877100.368279964,20872895.0,28043466.173986726,28188496.581914008,0.0,0.0,0.0
158,4880980771.611102,41297752.36088976,1909853.6180954203,13986685.986487404,10385554.658753235,0.0,0.0,0.0
159,4884236464.876955,41507552.650687076,0.0,6965642.863804047,4363447.694632245,0.0,0.0,0.0
160,4887558788.452059,41612037.29364414,0.0,3453997.5510444506,1970722.0839627432,0.0,0.0,0.0
